Australia, Exposure to risk (period 1x10), 	Last modified: 10 Oct 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1970-1979       41            752793.15       800799.24      1553592.39
1970-1979       42            750061.69       800010.09      1550071.78
1970-1979       43            748261.19       799697.26      1547958.44
1970-1979       44            748413.62       799025.31      1547438.94
1970-1979       45            754819.73       805917.13      1560736.87
1970-1979       46            761695.41       808828.86      1570524.27
1970-1979       47            766129.13       810927.89      1577057.02
1970-1979       48            769594.44       810541.55      1580135.98
1970-1979       49            767302.40       804801.10      1572103.50
1970-1979       50            762343.82       793313.88      1555657.70
1970-1979       51            744618.34       769578.31      1514196.65
1970-1979       52            729535.51       745910.05      1475445.56
1970-1979       53            713254.29       722112.93      1435367.22
1970-1979       54            697636.07       699804.70      1397440.77
1970-1979       55            682741.79       679578.79      1362320.58
1970-1979       56            670159.75       661103.41      1331263.16
1970-1979       57            653525.33       640413.74      1293939.07
1970-1979       58            636564.63       618224.49      1254789.13
1970-1979       59            617679.74       594548.90      1212228.64
1970-1979       60            607820.63       575274.72      1183095.35
1970-1979       61            592005.14       556684.56      1148689.70
1970-1979       62            579699.21       539699.52      1119398.73
1970-1979       63            562652.35       519344.03      1081996.38
1970-1979       64            542873.09       496453.37      1039326.46
1970-1979       65            521977.49       472219.61       994197.10
1970-1979       66            497039.19       445371.04       942410.23
1970-1979       67            473742.16       418887.89       892630.04
1970-1979       68            452672.67       392462.29       845134.96
1970-1979       69            428885.94       365076.08       793962.02
1970-1979       70            411774.45       339505.67       751280.12
1970-1979       71            390985.97       313383.73       704369.71
1970-1979       72            370087.51       286581.61       656669.12
1970-1979       73            349090.41       259914.56       609004.97
1970-1979       74            329140.58       234579.91       563720.49
1970-1979       75            309435.94       210919.59       520355.53
1970-1979       76            290226.24       188968.59       479194.83
1970-1979       77            271159.16       168517.88       439677.04
1970-1979       78            251654.99       149700.49       401355.48
1970-1979       79            228798.80       131079.45       359878.25
1970-1979       80            213604.76       116001.66       329606.42
1970-1979       81            194940.35       102362.89       297303.24
1970-1979       82            176317.74        89645.60       265963.33
1970-1979       83            156490.88        77085.36       233576.24
1970-1979       84            136327.55        65152.34       201479.89
1970-1979       85            116815.40        54312.38       171127.77
1970-1979       86             98422.61        44398.71       142821.32
1970-1979       87             81374.23        35418.19       116792.42
1970-1979       88             66297.51        27801.57        94099.07
1970-1979       89             52925.37        21306.93        74232.30
1970-1979       90             41390.40        15887.88        57278.28
1970-1979       91             31888.22        11688.69        43576.90
1970-1979       92             24018.84         8439.88        32458.72
1970-1979       93             17696.91         5903.89        23600.81
1970-1979       94             12734.24         4029.22        16763.45
1970-1979       95              8867.62         2698.86        11566.48
1970-1979       96              5997.98         1742.60         7740.58
1970-1979       97              3922.06         1093.63         5015.70
1970-1979       98              2478.19          687.12         3165.31
1970-1979       99              1514.53          412.65         1927.18
1970-1979      100               894.71          235.17         1129.88
1970-1979      101               519.32          137.04          656.36
1970-1979      102               293.27           82.65          375.92
1970-1979      103               152.75           49.53          202.28
1970-1979      104                70.58           25.40           95.98
1970-1979      105                31.88            9.32           41.21
1970-1979      106                14.31            3.70           18.00
1970-1979      107                 7.76            2.20            9.96
1970-1979      108                 5.21            1.50            6.71
1970-1979      109                 2.50            0.69            3.19
1970-1979      110+                0.34            0.00            0.34
1980-1989        0           1164228.59      1223968.18      2388196.77
1980-1989        1           1158001.17      1215904.58      2373905.76
1980-1989        2           1157461.78      1214859.54      2372321.32
1980-1989        3           1157476.86      1215131.01      2372607.88
1980-1989        4           1159922.66      1218054.47      2377977.13
1980-1989        5           1163942.14      1223138.59      2387080.74
1980-1989        6           1172542.45      1233558.21      2406100.66
1980-1989        7           1186358.24      1247296.00      2433654.24
1980-1989        8           1207090.20      1267738.12      2474828.32
1980-1989        9           1231705.63      1292459.58      2524165.21
1980-1989       10           1252152.29      1313288.39      2565440.68
1980-1989       11           1270309.12      1332190.51      2602499.62
1980-1989       12           1283660.25      1345656.51      2629316.76
1980-1989       13           1294082.08      1355915.42      2649997.50
1980-1989       14           1299870.50      1361730.85      2661601.36
1980-1989       15           1302732.92      1364505.43      2667238.35
1980-1989       16           1305211.25      1365701.81      2670913.06
1980-1989       17           1305646.49      1363659.81      2669306.30
1980-1989       18           1304449.16      1358254.72      2662703.87
1980-1989       19           1302490.69      1351668.50      2654159.19
1980-1989       20           1304617.24      1349428.64      2654045.88
1980-1989       21           1305578.82      1346900.32      2652479.13
1980-1989       22           1307217.71      1347635.89      2654853.60
1980-1989       23           1308323.83      1348500.24      2656824.07
1980-1989       24           1310199.65      1348661.08      2658860.73
1980-1989       25           1310912.30      1344591.29      2655503.60
1980-1989       26           1308826.49      1337464.30      2646290.79
1980-1989       27           1302663.29      1328134.91      2630798.21
1980-1989       28           1293725.20      1316138.80      2609864.00
1980-1989       29           1283212.47      1303109.44      2586321.91
1980-1989       30           1272006.68      1289850.84      2561857.52
1980-1989       31           1261467.37      1277168.27      2538635.64
1980-1989       32           1255610.92      1270781.47      2526392.39
1980-1989       33           1248158.13      1264831.65      2512989.78
1980-1989       34           1231718.68      1251098.11      2482816.79
1980-1989       35           1209920.96      1232643.63      2442564.58
1980-1989       36           1185030.13      1212369.11      2397399.24
1980-1989       37           1151864.78      1185179.90      2337044.69
1980-1989       38           1117697.29      1156086.59      2273783.88
1980-1989       39           1081265.73      1124790.50      2206056.23
1980-1989       40           1041155.06      1088218.95      2129374.02
1980-1989       41            999207.84      1047812.92      2047020.76
1980-1989       42            956804.69      1004194.70      1960999.38
1980-1989       43            912000.06       958363.32      1870363.38
1980-1989       44            872960.95       918390.99      1791351.93
1980-1989       45            839233.20       884674.73      1723907.92
1980-1989       46            811130.38       855686.94      1666817.32
1980-1989       47            787829.46       831996.52      1619825.98
1980-1989       48            772029.45       814985.68      1587015.13
1980-1989       49            761737.24       802497.01      1564234.24
1980-1989       50            753986.28       792138.39      1546124.67
1980-1989       51            746260.28       782898.15      1529158.43
1980-1989       52            742182.15       777055.69      1519237.84
1980-1989       53            738175.00       771465.45      1509640.45
1980-1989       54            735929.56       766618.95      1502548.51
1980-1989       55            736191.14       763646.03      1499837.16
1980-1989       56            739026.12       761716.78      1500742.90
1980-1989       57            740198.55       756284.28      1496482.83
1980-1989       58            741554.40       748525.28      1490079.69
1980-1989       59            739405.04       735798.11      1475203.15
1980-1989       60            732205.62       715919.59      1448125.21
1980-1989       61            717799.95       689787.29      1407587.24
1980-1989       62            701991.79       662610.55      1364602.34
1980-1989       63            684202.38       635000.65      1319203.03
1980-1989       64            665269.36       608222.74      1273492.11
1980-1989       65            645938.50       582929.95      1228868.45
1980-1989       66            626945.15       557791.25      1184736.39
1980-1989       67            605539.26       530814.96      1136354.22
1980-1989       68            583850.11       502713.10      1086563.21
1980-1989       69            561825.57       473958.87      1035784.44
1980-1989       70            541033.07       446563.30       987596.37
1980-1989       71            521747.26       421731.45       943478.71
1980-1989       72            501952.89       396341.59       898294.48
1980-1989       73            477692.76       368380.75       846073.52
1980-1989       74            450653.98       338930.72       789584.69
1980-1989       75            421295.27       308383.32       729678.59
1980-1989       76            390888.38       277540.15       668428.53
1980-1989       77            359857.75       247373.02       607230.76
1980-1989       78            331589.59       219476.85       551066.44
1980-1989       79            305347.99       193227.01       498575.00
1980-1989       80            279859.39       166837.42       446696.80
1980-1989       81            253515.34       143600.66       397116.00
1980-1989       82            227413.81       121945.32       349359.13
1980-1989       83            202426.78       102142.07       304568.85
1980-1989       84            178664.60        84579.89       263244.49
1980-1989       85            156193.36        69120.06       225313.42
1980-1989       86            135323.52        56074.86       191398.37
1980-1989       87            116005.00        44994.22       160999.22
1980-1989       88             98133.05        35760.03       133893.08
1980-1989       89             81475.45        27986.93       109462.38
1980-1989       90             66283.14        21469.08        87752.22
1980-1989       91             53351.38        16421.42        69772.80
1980-1989       92             42051.64        12330.59        54382.23
1980-1989       93             32181.91         9012.43        41194.33
1980-1989       94             23945.16         6439.21        30384.37
1980-1989       95             17368.82         4513.45        21882.27
1980-1989       96             12275.93         3063.22        15339.14
1980-1989       97              8411.72         2005.28        10417.00
1980-1989       98              5565.44         1268.35         6833.79
1980-1989       99              3575.75          763.50         4339.25
1980-1989      100              2218.95          445.98         2664.93
1980-1989      101              1347.21          261.53         1608.75
1980-1989      102               802.37          147.59          949.96
1980-1989      103               462.66           80.81          543.47
1980-1989      104               260.64           48.40          309.04
1980-1989      105               150.06           26.50          176.56
1980-1989      106                77.99           13.09           91.07
1980-1989      107                35.04            5.77           40.82
1980-1989      108                13.70            2.19           15.89
1980-1989      109                 4.40            1.50            5.90
1980-1989      110+                4.41            0.69            5.10
1990-1999        0           1244773.40      1311954.96      2556728.37
1990-1999        1           1247461.85      1314620.38      2562082.23
1990-1999        2           1250891.33      1317958.43      2568849.76
1990-1999        3           1253994.21      1320880.81      2574875.02
1990-1999        4           1257306.13      1324013.42      2581319.55
1990-1999        5           1259961.84      1325811.90      2585773.74
1990-1999        6           1261068.54      1326264.72      2587333.26
1990-1999        7           1261854.40      1326923.26      2588777.66
1990-1999        8           1259684.68      1324972.88      2584657.56
1990-1999        9           1255678.38      1320550.71      2576229.09
1990-1999       10           1250258.76      1315542.90      2565801.66
1990-1999       11           1246910.76      1311995.81      2558906.57
1990-1999       12           1246260.38      1311356.74      2557617.12
1990-1999       13           1243791.45      1309227.00      2553018.44
1990-1999       14           1242712.98      1308607.75      2551320.73
1990-1999       15           1244113.48      1309776.32      2553889.81
1990-1999       16           1251101.72      1316541.42      2567643.15
1990-1999       17           1263550.20      1328567.93      2592118.13
1990-1999       18           1283663.63      1347441.10      2631104.73
1990-1999       19           1314773.09      1373618.99      2688392.08
1990-1999       20           1339781.40      1391086.02      2730867.42
1990-1999       21           1358823.59      1401707.81      2760531.40
1990-1999       22           1366311.01      1404832.45      2771143.47
1990-1999       23           1372426.76      1406449.30      2778876.06
1990-1999       24           1378515.98      1405445.65      2783961.64
1990-1999       25           1387047.84      1404913.76      2791961.60
1990-1999       26           1396824.51      1406567.91      2803392.42
1990-1999       27           1405013.42      1408439.84      2813453.26
1990-1999       28           1410982.11      1411016.39      2821998.51
1990-1999       29           1415019.64      1412908.09      2827927.73
1990-1999       30           1423695.35      1421307.81      2845003.16
1990-1999       31           1428306.86      1426257.99      2854564.85
1990-1999       32           1433966.20      1430288.16      2864254.36
1990-1999       33           1438388.63      1434001.02      2872389.65
1990-1999       34           1440692.80      1435944.91      2876637.71
1990-1999       35           1437895.16      1432340.70      2870235.87
1990-1999       36           1428525.66      1422586.31      2851111.97
1990-1999       37           1413734.35      1407584.39      2821318.74
1990-1999       38           1396754.61      1390685.30      2787439.91
1990-1999       39           1381021.03      1375889.32      2756910.35
1990-1999       40           1363789.74      1360871.70      2724661.44
1990-1999       41           1345667.20      1346553.12      2692220.31
1990-1999       42           1330895.74      1336677.99      2667573.73
1990-1999       43           1312637.46      1324097.65      2636735.11
1990-1999       44           1285908.53      1302351.19      2588259.72
1990-1999       45           1255394.10      1276962.59      2532356.70
1990-1999       46           1220077.07      1246619.26      2466696.33
1990-1999       47           1179092.23      1210278.03      2389370.26
1990-1999       48           1137316.14      1172516.74      2309832.89
1990-1999       49           1094621.76      1133872.22      2228493.98
1990-1999       50           1049295.44      1091225.16      2140520.59
1990-1999       51           1003859.51      1046903.93      2050763.44
1990-1999       52            957339.61       998921.30      1956260.90
1990-1999       53            911519.21       950306.14      1861825.35
1990-1999       54            872547.53       907317.91      1779865.44
1990-1999       55            838241.88       868981.58      1707223.46
1990-1999       56            808750.05       835423.98      1644174.03
1990-1999       57            784034.10       806736.15      1590770.25
1990-1999       58            765286.83       782985.49      1548272.32
1990-1999       59            752626.46       764484.49      1517110.95
1990-1999       60            742774.79       749325.15      1492099.94
1990-1999       61            734558.88       736758.93      1471317.81
1990-1999       62            728519.22       725268.23      1453787.46
1990-1999       63            723513.12       714106.19      1437619.31
1990-1999       64            718842.39       703126.30      1421968.68
1990-1999       65            714380.71       691473.80      1405854.51
1990-1999       66            709839.06       677411.30      1387250.36
1990-1999       67            703383.40       661126.64      1364510.04
1990-1999       68            695118.55       641188.13      1336306.68
1990-1999       69            683897.78       617713.83      1301611.61
1990-1999       70            667360.29       589042.71      1256402.99
1990-1999       71            645321.23       555931.04      1201252.27
1990-1999       72            621403.38       521063.91      1142467.29
1990-1999       73            595796.60       486070.29      1081866.89
1990-1999       74            568963.46       451601.91      1020565.37
1990-1999       75            541884.98       418190.69       960075.67
1990-1999       76            514372.98       384956.00       899328.97
1990-1999       77            483620.69       350445.89       834066.58
1990-1999       78            451429.04       315647.63       767076.67
1990-1999       79            418862.08       281735.06       700597.14
1990-1999       80            390753.86       247541.88       638295.73
1990-1999       81            362240.20       220566.81       582807.00
1990-1999       82            333102.50       193851.44       526953.94
1990-1999       83            302066.69       167484.05       469550.74
1990-1999       84            269885.66       142369.59       412255.25
1990-1999       85            237300.63       118769.76       356070.39
1990-1999       86            204993.93        97373.35       302367.28
1990-1999       87            174663.86        78259.16       252923.02
1990-1999       88            147287.47        61903.48       209190.95
1990-1999       89            122874.50        48556.21       171430.70
1990-1999       90            100814.63        37006.68       137821.31
1990-1999       91             80834.53        27506.04       108340.57
1990-1999       92             63268.90        20018.00        83286.90
1990-1999       93             48754.59        14191.13        62945.72
1990-1999       94             36842.79         9826.17        46668.96
1990-1999       95             27140.88         6693.19        33834.07
1990-1999       96             19536.34         4439.48        23975.81
1990-1999       97             13746.65         2872.58        16619.23
1990-1999       98              9391.42         1798.91        11190.33
1990-1999       99              6288.86         1125.05         7413.90
1990-1999      100              4200.78          714.93         4915.71
1990-1999      101              2679.58          435.31         3114.88
1990-1999      102              1639.61          254.78         1894.39
1990-1999      103               953.10          141.94         1095.04
1990-1999      104               529.91           74.56          604.46
1990-1999      105               276.23           41.65          317.88
1990-1999      106               132.76           21.57          154.33
1990-1999      107                64.63            7.79           72.41
1990-1999      108                26.67            1.51           28.18
1990-1999      109                10.49            0.00           10.49
1990-1999      110+                4.34            0.00            4.34
2000-2009        0           1288512.69      1359147.27      2647659.96
2000-2009        1           1274836.53      1343495.59      2618332.12
2000-2009        2           1268419.74      1336823.83      2605243.58
2000-2009        3           1266560.55      1334620.65      2601181.20
2000-2009        4           1270069.93      1337457.57      2607527.50
2000-2009        5           1278867.94      1346619.36      2625487.30
2000-2009        6           1288139.05      1356334.44      2644473.49
2000-2009        7           1298432.46      1367262.27      2665694.73
2000-2009        8           1308754.37      1378070.11      2686824.48
2000-2009        9           1319151.40      1389071.41      2708222.81
2000-2009       10           1327084.58      1398034.04      2725118.63
2000-2009       11           1331882.78      1403181.11      2735063.89
2000-2009       12           1335529.32      1406527.12      2742056.44
2000-2009       13           1337988.69      1409509.99      2747498.69
2000-2009       14           1339497.85      1411079.14      2750576.99
2000-2009       15           1339538.46      1409436.12      2748974.58
2000-2009       16           1340712.63      1407937.75      2748650.38
2000-2009       17           1346927.85      1410862.10      2757789.95
2000-2009       18           1356935.00      1419977.06      2776912.06
2000-2009       19           1368092.95      1430971.23      2799064.18
2000-2009       20           1374781.23      1434378.74      2809159.97
2000-2009       21           1378454.37      1435026.76      2813481.13
2000-2009       22           1380214.20      1435615.35      2815829.55
2000-2009       23           1382469.86      1436938.48      2819408.35
2000-2009       24           1383089.74      1433026.80      2816116.54
2000-2009       25           1383958.04      1424221.78      2808179.82
2000-2009       26           1389745.95      1417132.74      2806878.69
2000-2009       27           1400353.32      1414862.43      2815215.74
2000-2009       28           1418234.77      1421046.70      2839281.47
2000-2009       29           1441877.19      1436188.86      2878066.05
2000-2009       30           1461240.61      1450063.88      2911304.49
2000-2009       31           1476703.90      1461562.45      2938266.35
2000-2009       32           1487209.73      1469638.09      2956847.82
2000-2009       33           1495731.11      1476449.57      2972180.68
2000-2009       34           1502908.84      1482640.91      2985549.76
2000-2009       35           1510462.94      1489387.51      2999850.44
2000-2009       36           1518667.54      1497388.99      3016056.53
2000-2009       37           1522516.19      1502049.83      3024566.02
2000-2009       38           1521660.35      1503146.67      3024807.02
2000-2009       39           1516560.59      1498855.96      3015416.55
2000-2009       40           1516571.32      1498501.17      3015072.49
2000-2009       41           1515230.82      1496369.82      3011600.64
2000-2009       42           1515105.08      1494356.77      3009461.84
2000-2009       43           1511177.64      1488201.63      2999379.27
2000-2009       44           1504419.47      1480231.61      2984651.07
2000-2009       45           1494090.51      1469036.61      2963127.12
2000-2009       46           1477191.56      1452414.37      2929605.93
2000-2009       47           1453693.44      1430853.83      2884547.26
2000-2009       48           1428757.37      1408017.60      2836774.97
2000-2009       49           1405181.61      1386546.53      2791728.14
2000-2009       50           1381635.98      1365537.84      2747173.81
2000-2009       51           1358341.97      1346060.72      2704402.69
2000-2009       52           1337435.12      1329959.33      2667394.45
2000-2009       53           1314117.19      1311064.69      2625181.88
2000-2009       54           1282273.24      1282659.49      2564932.73
2000-2009       55           1245057.45      1249712.35      2494769.80
2000-2009       56           1205067.44      1213715.89      2418783.33
2000-2009       57           1161411.85      1173219.64      2334631.49
2000-2009       58           1117462.54      1131398.49      2248861.03
2000-2009       59           1073616.61      1088906.65      2162523.26
2000-2009       60           1029632.21      1044828.06      2074460.27
2000-2009       61            986496.86       999196.75      1985693.61
2000-2009       62            940591.77       949673.53      1890265.31
2000-2009       63            894582.80       899042.78      1793625.59
2000-2009       64            855058.08       854112.63      1709170.71
2000-2009       65            819868.73       812542.41      1632411.14
2000-2009       66            786112.85       773452.81      1559565.66
2000-2009       67            756877.16       739236.60      1496113.76
2000-2009       68            732031.99       708675.69      1440707.68
2000-2009       69            711665.40       682216.38      1393881.78
2000-2009       70            693175.54       657610.97      1350786.51
2000-2009       71            676140.69       633981.81      1310122.50
2000-2009       72            661866.41       611035.68      1272902.09
2000-2009       73            648199.77       587358.67      1235558.43
2000-2009       74            634857.57       563417.62      1198275.19
2000-2009       75            621481.20       538686.79      1160167.99
2000-2009       76            607095.18       512392.42      1119487.60
2000-2009       77            590017.33       483568.53      1073585.86
2000-2009       78            571066.88       453269.53      1024336.40
2000-2009       79            548580.56       419807.93       968388.48
2000-2009       80            516071.78       376063.01       892134.79
2000-2009       81            482023.01       336102.50       818125.51
2000-2009       82            446220.09       297000.79       743220.88
2000-2009       83            410220.10       260000.94       670221.04
2000-2009       84            373271.68       224865.96       598137.64
2000-2009       85            337018.03       192073.22       529091.25
2000-2009       86            300835.16       162037.01       462872.18
2000-2009       87            263738.05       134153.42       397891.48
2000-2009       88            227263.32       108795.94       336059.26
2000-2009       89            192317.22        86185.52       278502.74
2000-2009       90            160981.30        67274.36       228255.66
2000-2009       91            133277.72        52208.42       185486.14
2000-2009       92            107530.56        39364.70       146895.26
2000-2009       93             84223.34        28690.38       112913.73
2000-2009       94             64162.82        20371.97        84534.78
2000-2009       95             47467.30        13892.10        61359.40
2000-2009       96             34003.39         9169.08        43172.47
2000-2009       97             23746.33         5886.04        29632.37
2000-2009       98             16020.72         3674.85        19695.58
2000-2009       99             10611.50         2269.37        12880.88
2000-2009      100              6812.29         1362.89         8175.17
2000-2009      101              4169.08          776.53         4945.61
2000-2009      102              2471.15          430.26         2901.41
2000-2009      103              1418.47          231.81         1650.27
2000-2009      104               782.76          118.71          901.47
2000-2009      105               417.49           57.18          474.66
2000-2009      106               214.87           25.19          240.06
2000-2009      107               105.65            8.67          114.33
2000-2009      108                48.95            1.40           50.35
2000-2009      109                20.10            0.00           20.10
2000-2009      110+                6.15            0.00            6.15
2010-2019        0           1481335.63      1566888.53      3048224.16
2010-2019        1           1484156.01      1567830.26      3051986.27
2010-2019        2           1489561.28      1572009.51      3061570.78
2010-2019        3           1491909.28      1574184.27      3066093.55
2010-2019        4           1488892.49      1571239.60      3060132.09
2010-2019        5           1485808.98      1568659.96      3054468.94
2010-2019        6           1478088.77      1560339.55      3038428.32
2010-2019        7           1464154.99      1544788.18      3008943.18
2010-2019        8           1450876.62      1530296.34      2981172.95
2010-2019        9           1437030.70      1516019.48      2953050.18
2010-2019       10           1421525.76      1499771.87      2921297.63
2010-2019       11           1407045.28      1484979.25      2892024.52
2010-2019       12           1394352.30      1472213.57      2866565.88
2010-2019       13           1383525.61      1460912.73      2844438.33
2010-2019       14           1379536.08      1456410.14      2835946.22
2010-2019       15           1386025.94      1462440.60      2848466.54
2010-2019       16           1398201.54      1474178.51      2872380.04
2010-2019       17           1416644.61      1492118.30      2908762.91
2010-2019       18           1455165.06      1533304.11      2988469.17
2010-2019       19           1508546.75      1592160.92      3100707.67
2010-2019       20           1552474.44      1635298.19      3187772.63
2010-2019       21           1587755.37      1667124.35      3254879.72
2010-2019       22           1625813.08      1704432.30      3330245.38
2010-2019       23           1680368.99      1752098.11      3432467.10
2010-2019       24           1711723.42      1778794.42      3490517.83
2010-2019       25           1729315.44      1783240.92      3512556.36
2010-2019       26           1746602.70      1782215.40      3528818.11
2010-2019       27           1761893.95      1781660.41      3543554.36
2010-2019       28           1769188.03      1777230.26      3546418.29
2010-2019       29           1766105.31      1766509.94      3532615.25
2010-2019       30           1755469.71      1750084.96      3505554.67
2010-2019       31           1737028.01      1729045.57      3466073.58
2010-2019       32           1715738.60      1707204.90      3422943.50
2010-2019       33           1692136.33      1683932.47      3376068.81
2010-2019       34           1669234.00      1661536.67      3330770.67
2010-2019       35           1647013.85      1639354.26      3286368.11
2010-2019       36           1629849.87      1621436.74      3251286.61
2010-2019       37           1618583.57      1606939.17      3225522.74
2010-2019       38           1616975.80      1601322.78      3218298.58
2010-2019       39           1623433.76      1604438.73      3227872.50
2010-2019       40           1628000.37      1606012.95      3234013.32
2010-2019       41           1632526.95      1608049.54      3240576.49
2010-2019       42           1633487.88      1605886.92      3239374.79
2010-2019       43           1633050.99      1601910.78      3234961.77
2010-2019       44           1630275.74      1594171.11      3224446.85
2010-2019       45           1626753.60      1585920.33      3212673.93
2010-2019       46           1623067.85      1578406.92      3201474.77
2010-2019       47           1615356.03      1569054.91      3184410.94
2010-2019       48           1602484.75      1556920.30      3159405.05
2010-2019       49           1584638.05      1540820.44      3125458.49
2010-2019       50           1572744.68      1530766.36      3103511.04
2010-2019       51           1559616.16      1519573.49      3079189.65
2010-2019       52           1550437.99      1511580.80      3062018.78
2010-2019       53           1539700.09      1501796.77      3041496.86
2010-2019       54           1527862.15      1489875.40      3017737.55
2010-2019       55           1511303.22      1471360.80      2982664.03
2010-2019       56           1487684.83      1445588.28      2933273.10
2010-2019       57           1458510.78      1413916.20      2872426.98
2010-2019       58           1425985.30      1379645.79      2805631.09
2010-2019       59           1393332.77      1345948.73      2739281.50
2010-2019       60           1361553.08      1314451.65      2676004.73
2010-2019       61           1330930.81      1285278.22      2616209.03
2010-2019       62           1303862.77      1261121.28      2564984.05
2010-2019       63           1277493.04      1238592.75      2516085.79
2010-2019       64           1245091.92      1210209.87      2455301.79
2010-2019       65           1208008.02      1176106.67      2384114.69
2010-2019       66           1168031.88      1138051.24      2306083.12
2010-2019       67           1124065.33      1095392.13      2219457.46
2010-2019       68           1077440.23      1049764.73      2127204.96
2010-2019       69           1028619.35      1001204.32      2029823.68
2010-2019       70            978400.06       950574.32      1928974.38
2010-2019       71            927086.64       897324.95      1824411.59
2010-2019       72            872986.95       839425.20      1712412.15
2010-2019       73            819244.06       780560.63      1599804.69
2010-2019       74            773238.68       727272.98      1500511.66
2010-2019       75            732834.49       677983.14      1410817.63
2010-2019       76            694540.34       631505.26      1326045.59
2010-2019       77            660053.32       588727.01      1248780.34
2010-2019       78            628047.59       548180.06      1176227.65
2010-2019       79            599007.32       510574.02      1109581.34
2010-2019       80            568355.77       474121.57      1042477.34
2010-2019       81            538782.63       438281.44       977064.07
2010-2019       82            509436.34       402761.44       912197.78
2010-2019       83            479784.26       366763.09       846547.34
2010-2019       84            450102.10       331712.89       781814.99
2010-2019       85            419808.17       296584.57       716392.74
2010-2019       86            387583.64       261320.04       648903.69
2010-2019       87            353832.92       226665.75       580498.67
2010-2019       88            318343.65       192962.99       511306.64
2010-2019       89            280890.49       160124.46       441014.94
2010-2019       90            241004.16       129008.35       370012.51
2010-2019       91            201143.43       100770.76       301914.19
2010-2019       92            164151.13        76389.02       240540.15
2010-2019       93            131118.31        56522.64       187640.95
2010-2019       94            101766.51        40695.32       142461.84
2010-2019       95             76923.15        28303.25       105226.40
2010-2019       96             56286.78        19077.52        75364.29
2010-2019       97             39879.78        12371.23        52251.02
2010-2019       98             27248.19         7727.30        34975.49
2010-2019       99             18135.89         4618.02        22753.91
2010-2019      100             11738.08         2717.54        14455.62
2010-2019      101              7195.35         1535.61         8730.96
2010-2019      102              4202.18          833.34         5035.52
2010-2019      103              2344.13          432.19         2776.32
2010-2019      104              1258.51          215.13         1473.63
2010-2019      105               648.93          102.30          751.23
2010-2019      106               320.68           45.39          366.06
2010-2019      107               151.34           17.90          169.24
2010-2019      108                67.55            4.93           72.48
2010-2019      109                27.65            0.22           27.87
2010-2019      110+                9.83            0.00            9.83
2020-2021        0            292046.98       308304.94       600351.92
2020-2021        1            290784.87       307892.54       598677.41
2020-2021        2            293762.30       311484.31       605246.61
2020-2021        3            299254.54       317109.83       616364.37
2020-2021        4            306806.69       324817.92       631624.61
2020-2021        5            310808.91       329196.25       640005.16
2020-2021        6            312152.94       330705.91       642858.84
2020-2021        7            315241.65       333869.72       649111.37
2020-2021        8            316569.09       334754.94       651324.03
2020-2021        9            315989.73       333543.02       649532.75
2020-2021       10            317596.60       335141.10       652737.70
2020-2021       11            317525.89       335594.08       653119.97
2020-2021       12            314574.47       333207.83       647782.31
2020-2021       13            311806.34       331091.43       642897.76
2020-2021       14            304305.31       323848.97       628154.29
2020-2021       15            292883.85       312073.65       604957.50
2020-2021       16            286449.29       304988.47       591437.75
2020-2021       17            283307.58       300172.05       583479.63
2020-2021       18            285363.53       302034.53       587398.06
2020-2021       19            295599.53       315285.73       610885.27
2020-2021       20            306368.83       328701.36       635070.19
2020-2021       21            314684.60       336684.81       651369.41
2020-2021       22            321909.58       342394.66       664304.25
2020-2021       23            332807.95       351594.59       684402.55
2020-2021       24            343114.69       361264.41       704379.09
2020-2021       25            353002.76       369388.02       722390.78
2020-2021       26            362775.11       374123.99       736899.10
2020-2021       27            368153.20       373369.46       741522.66
2020-2021       28            374524.41       373649.84       748174.25
2020-2021       29            382683.52       377779.20       760462.71
2020-2021       30            388014.59       381820.12       769834.71
2020-2021       31            386935.35       379934.57       766869.93
2020-2021       32            382633.45       374925.36       757558.82
2020-2021       33            381548.50       373807.28       755355.78
2020-2021       34            381678.26       375047.17       756725.43
2020-2021       35            380731.61       374902.88       755634.49
2020-2021       36            378490.89       373276.69       751767.58
2020-2021       37            374844.67       370907.97       745752.63
2020-2021       38            368789.73       365443.17       734232.90
2020-2021       39            358733.94       354180.52       712914.47
2020-2021       40            347250.95       340569.98       687820.93
2020-2021       41            336902.23       328451.07       665353.30
2020-2021       42            330086.75       320689.74       650776.49
2020-2021       43            324469.90       315997.00       640466.90
2020-2021       44            322045.92       315602.39       637648.30
2020-2021       45            323346.48       318424.06       641770.54
2020-2021       46            327685.01       322320.50       650005.51
2020-2021       47            335156.74       328321.81       663478.55
2020-2021       48            344757.77       336075.05       680832.83
2020-2021       49            351828.11       341364.75       693192.86
2020-2021       50            344163.03       333413.05       677576.08
2020-2021       51            331119.09       320751.00       651870.09
2020-2021       52            321353.54       311445.44       632798.99
2020-2021       53            312383.40       303201.49       615584.89
2020-2021       54            308460.27       299557.24       608017.51
2020-2021       55            308623.28       299228.96       607852.23
2020-2021       56            314092.73       303902.03       617994.75
2020-2021       57            319542.02       308465.22       628007.24
2020-2021       58            321404.61       309517.51       630922.12
2020-2021       59            319015.74       305423.61       624439.35
2020-2021       60            312917.40       297463.17       610380.57
2020-2021       61            305600.35       288854.06       594454.41
2020-2021       62            298563.97       281152.08       579716.05
