"","Sex","Age","U","Value"
"1","Male",0,"u1",-921.038251096415
"2","Male",1,"u1",-1070.19742959333
"3","Male",2,"u1",-1109.58973416828
"4","Male",3,"u1",-1133.10104260393
"5","Male",4,"u1",-1148.07699485004
"6","Male",5,"u1",-1158.79359822951
"7","Male",6,"u1",-1168.00886539527
"8","Male",7,"u1",-1174.81778752938
"9","Male",8,"u1",-1181.83325856032
"10","Male",9,"u1",-1188.2566508029
"11","Male",10,"u1",-1190.59501457748
"12","Male",11,"u1",-1191.27082632456
"13","Male",12,"u1",-1187.99209985883
"14","Male",13,"u1",-1181.99464675214
"15","Male",14,"u1",-1169.1308427271
"16","Male",15,"u1",-1155.50488892651
"17","Male",16,"u1",-1137.4185236784
"18","Male",17,"u1",-1122.31203878582
"19","Male",18,"u1",-1107.23750689561
"20","Male",19,"u1",-1101.19891209954
"21","Male",20,"u1",-1097.19557676004
"22","Male",21,"u1",-1094.93189449024
"23","Male",22,"u1",-1093.42006229131
"24","Male",23,"u1",-1092.8864309856
"25","Male",24,"u1",-1093.31348176548
"26","Male",25,"u1",-1093.0261410702
"27","Male",26,"u1",-1093.36180645339
"28","Male",27,"u1",-1092.15131774878
"29","Male",28,"u1",-1091.05910073652
"30","Male",29,"u1",-1089.78008928036
"31","Male",30,"u1",-1088.35680256774
"32","Male",31,"u1",-1086.40117627415
"33","Male",32,"u1",-1083.2995157063
"34","Male",33,"u1",-1080.60846501
"35","Male",34,"u1",-1077.46925443552
"36","Male",35,"u1",-1074.1577303773
"37","Male",36,"u1",-1070.68562286776
"38","Male",37,"u1",-1067.69626113419
"39","Male",38,"u1",-1062.19794019137
"40","Male",39,"u1",-1057.98915164655
"41","Male",40,"u1",-1052.80261561755
"42","Male",41,"u1",-1049.24850392124
"43","Male",42,"u1",-1042.8564536121
"44","Male",43,"u1",-1038.29213841041
"45","Male",44,"u1",-1033.41505850937
"46","Male",45,"u1",-1027.2117207423
"47","Male",46,"u1",-1022.75274750962
