West Germany, Exposure to risk (period 1x1), 	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1956          48            457862.17       371168.33       829030.50
  1956          49            447906.67       369882.17       817788.83
  1956          50            437447.00       374404.17       811851.17
  1956          51            427572.33       380101.17       807673.50
  1956          52            416660.00       370288.17       786948.16
  1956          53            410307.00       363839.83       774146.83
  1956          54            406434.33       360096.83       766531.16
  1956          55            392492.33       346801.34       739293.67
  1956          56            379265.67       326430.17       705695.84
  1956          57            371049.17       302390.33       673439.50
  1956          58            359648.67       278476.67       638125.33
  1956          59            349928.83       260039.83       609968.67
  1956          60            340270.50       243759.34       584029.84
  1956          61            323342.50       226147.67       549490.16
  1956          62            311520.67       215164.33       526685.00
  1956          63            297299.33       206267.50       503566.83
  1956          64            283928.00       199059.50       482987.50
  1956          65            271382.50       191294.83       462677.33
  1956          66            260193.17       183669.66       443862.83
  1956          67            249614.66       177875.83       427490.50
  1956          68            236319.83       170919.16       407239.00
  1956          69            222340.00       161793.00       384133.00
  1956          70            209761.50       153629.83       363391.33
  1956          71            197361.16       146415.83       343776.99
  1956          72            181873.67       135818.16       317691.83
  1956          73            168957.50       126916.49       295873.99
  1956          74            156199.50       118669.83       274869.33
  1956          75            143875.67       109005.00       252880.66
  1956          76            132484.66       100608.49       233093.16
  1956          77            120581.50        91997.50       212578.99
  1956          78            107438.33        82599.49       190037.82
  1956          79             93904.33        72798.16       166702.49
  1956          80             84065.90        65083.80       149149.69
  1956          81             70678.54        54460.89       125139.43
  1956          82             58210.87        44339.79       102550.66
  1956          83             46994.88        35332.93        82327.81
  1956          84             35315.03        26357.38        61672.41
  1956          85             27459.41        19974.20        47433.61
  1956          86             22883.16        16079.76        38962.93
  1956          87             17203.58        11639.30        28842.88
  1956          88             12406.68         8164.07        20570.75
  1956          89              9389.80         5866.29        15256.09
  1956          90              6680.10         4030.86        10710.95
  1956          91              4499.72         2636.45         7136.17
  1956          92              3130.03         1707.08         4837.10
  1956          93              1999.02         1070.04         3069.06
  1956          94              1235.67          649.91         1885.58
  1956          95               813.41          379.94         1193.35
  1956          96               477.31          228.17          705.48
  1956          97               255.43          121.89          377.32
  1956          98               147.20           59.86          207.06
  1956          99                72.11           31.00          103.11
  1956         100                31.76           13.02           44.78
  1956         101                18.24            5.93           24.16
  1956         102                10.00            3.22           13.22
  1956         103                 4.63            1.08            5.71
  1956         104                 1.84            0.19            2.03
  1956         105                 0.48            0.00            0.48
  1956         106                 0.00            0.00            0.00
  1956         107                 0.00            0.00            0.00
  1956         108                 0.00            0.00            0.00
  1956         109                 0.00            0.00            0.00
  1956         110+                0.00            0.00            0.00
  1957           0            411721.67       434403.43       846125.09
  1957           1            390507.77       410338.24       800846.01
  1957           2            380118.50       398758.90       778877.40
  1957           3            376431.98       394275.38       770707.36
  1957           4            373603.43       391471.75       765075.18
  1957           5            372750.37       390887.80       763638.16
  1957           6            374324.60       391983.37       766307.97
  1957           7            377544.07       395362.22       772906.29
  1957           8            374941.16       392750.02       767691.18
  1957           9            348806.67       364421.26       713227.93
  1957          10            341528.35       354571.96       696100.31
  1957          11            284916.67       293920.04       578836.71
  1957          12            318871.50       328073.17       646944.67
  1957          13            371578.67       384787.17       756365.83
  1957          14            373100.33       386477.67       759578.00
  1957          15            411844.67       425828.00       837672.67
  1957          16            475335.17       490092.67       965427.83
  1957          17            495075.67       509855.84      1004931.50
  1957          18            481269.17       497900.83       979170.00
  1957          19            454914.67       472286.83       927201.50
  1957          20            440699.33       457590.67       898290.00
  1957          21            434529.83       449533.83       884063.67
  1957          22            417198.00       431466.00       848664.00
  1957          23            367782.17       378892.00       746674.17
  1957          24            334502.50       344828.00       679330.50
  1957          25            344164.17       354498.67       698662.83
  1957          26            364364.17       376335.67       740699.83
  1957          27            377473.33       388643.33       766116.67
  1957          28            379981.83       391389.83       771371.67
  1957          29            380496.33       378693.83       759190.17
  1957          30            385639.00       351475.17       737114.17
  1957          31            407924.00       341323.17       749247.17
  1957          32            416298.17       321143.67       737441.84
  1957          33            413143.67       301278.50       714422.17
  1957          34            426524.83       312049.33       738574.17
  1957          35            450616.00       329855.00       780471.00
  1957          36            468648.17       337531.67       806179.83
  1957          37            418436.67       300313.83       718750.50
  1957          38            304763.17       220856.17       525619.33
  1957          39            241197.83       176612.00       417809.83
  1957          40            249110.83       183213.67       432324.50
  1957          41            305531.33       223079.67       528611.00
  1957          42            397561.00       288425.83       685986.83
  1957          43            449320.67       331376.33       780697.00
  1957          44            457684.67       347090.33       804775.00
  1957          45            452422.33       347677.50       800099.83
  1957          46            451086.50       347045.67       798132.17
  1957          47            464633.50       360833.83       825467.33
  1957          48            466727.83       368117.17       834845.00
  1957          49            457616.00       369498.67       827114.67
  1957          50            447585.00       367944.33       815529.33
  1957          51            436962.50       371905.50       808868.00
  1957          52            426876.83       377441.50       804318.33
  1957          53            415861.33       367440.33       783301.67
  1957          54            409247.17       360381.67       769628.83
  1957          55            405244.50       356217.83       761462.33
  1957          56            391079.83       342567.00       733646.83
  1957          57            377665.50       322087.83       699753.33
  1957          58            369193.83       297863.00       667056.83
  1957          59            357395.17       273862.34       631257.51
  1957          60            347500.00       255228.84       602728.84
  1957          61            337288.33       238891.00       576179.34
  1957          62            320138.00       221193.67       541331.67
  1957          63            307888.67       209970.00       517858.67
  1957          64            293413.50       200843.50       494257.01
  1957          65            279570.83       193231.34       472802.17
  1957          66            266524.00       185196.33       451720.33
  1957          67            254894.83       177055.00       431949.83
  1957          68            243870.00       171009.83       414879.83
  1957          69            229919.50       163708.00       393627.50
  1957          70            215599.84       154453.17       370053.00
  1957          71            202408.33       145725.00       348133.33
  1957          72            189379.83       138041.67       327421.50
  1957          73            173492.00       127273.50       300765.50
  1957          74            159993.83       118110.00       278103.83
  1957          75            146874.67       109680.67       256555.33
  1957          76            134113.50        99938.33       234051.83
  1957          77            122379.67        91300.67       213680.33
  1957          78            110418.83        82704.83       193123.66
  1957          79             97299.67        73449.17       170748.83
  1957          80             87678.25        66699.96       154378.20
  1957          81             74427.23        56541.95       130969.18
  1957          82             61612.05        46655.27       108267.31
  1957          83             50008.90        37301.07        87309.97
  1957          84             39697.59        29321.11        69018.70
  1957          85             29369.77        21474.82        50844.59
  1957          86             22403.99        15909.54        38313.53
  1957          87             18319.25        12496.65        30815.90
  1957          88             13480.69         8845.58        22326.27
  1957          89              9552.80         6062.40        15615.20
  1957          90              7080.76         4259.83        11340.59
  1957          91              4912.40         2852.60         7765.00
  1957          92              3241.36         1818.22         5059.58
  1957          93              2194.51         1133.36         3327.87
  1957          94              1353.17          707.68         2060.85
  1957          95               826.00          424.89         1250.89
  1957          96               522.41          239.09          761.51
  1957          97               295.81          140.17          435.98
  1957          98               158.10           71.22          229.32
  1957          99                84.87           35.19          120.06
  1957         100                34.27           14.17           48.44
  1957         101                16.60            6.52           23.11
  1957         102                 9.71            2.62           12.34
  1957         103                 4.83            1.02            5.84
  1957         104                 2.04            0.06            2.10
  1957         105                 0.70            0.00            0.70
  1957         106                 0.07            0.00            0.07
  1957         107                 0.00            0.00            0.00
  1957         108                 0.00            0.00            0.00
  1957         109                 0.00            0.00            0.00
  1957         110+                0.00            0.00            0.00
  1958           0            424897.40       450403.98       875301.38
  1958           1            410905.62       433765.86       844671.48
  1958           2            393874.19       415180.16       809054.35
  1958           3            383964.31       404695.05       788659.36
  1958           4            380474.63       399863.86       780338.49
  1958           5            377682.62       397375.70       775058.32
  1958           6            376889.38       396706.62       773596.00
  1958           7            378467.52       397773.96       776241.48
  1958           8            381565.96       401340.25       782906.22
  1958           9            378598.28       398349.66       776947.94
  1958          10            352126.74       369115.03       721241.78
  1958          11            344628.08       359000.02       703628.10
  1958          12            287438.45       297459.65       584898.09
  1958          13            322213.33       332825.00       655038.33
  1958          14            375464.33       389821.84       765286.17
  1958          15            377093.50       391354.83       768448.33
  1958          16            416393.50       431119.00       847512.50
  1958          17            480258.00       497068.67       977326.67
  1958          18            501128.00       519491.83      1020619.83
  1958          19            486536.00       505432.83       991968.83
  1958          20            457338.00       475012.00       932350.00
  1958          21            440174.50       453797.17       893971.67
  1958          22            431350.17       441662.50       873012.67
  1958          23            413544.33       423817.34       837361.67
  1958          24            365223.33       374425.00       739648.34
  1958          25            332371.00       340208.17       672579.17
  1958          26            341933.00       349842.50       691775.50
  1958          27            362375.17       371667.83       734043.00
  1958          28            376136.50       384914.50       761051.00
  1958          29            378925.00       388103.83       767028.83
  1958          30            379854.83       376424.50       756279.34
  1958          31            385343.00       349914.83       735257.83
  1958          32            408114.50       340545.00       748659.50
  1958          33            416784.00       320912.33       737696.33
  1958          34            414012.17       301626.83       715639.00
  1958          35            427530.33       312315.00       739845.33
  1958          36            451999.33       330563.17       782562.50
  1958          37            470162.17       338443.83       808606.00
  1958          38            419928.17       301285.33       721213.50
  1958          39            305918.00       221466.00       527384.00
  1958          40            242201.00       177324.50       419525.50
  1958          41            250208.17       184182.33       434390.50
  1958          42            307039.83       224440.67       531480.50
  1958          43            399669.50       290358.83       690028.33
  1958          44            451742.33       333400.66       785143.00
  1958          45            460236.33       349278.50       809514.83
  1958          46            454955.33       349651.17       804606.50
  1958          47            453628.33       349117.67       802746.00
  1958          48            467144.83       362904.17       830049.00
  1958          49            469067.83       370055.00       839122.83
  1958          50            459643.00       371119.83       830762.83
  1958          51            449456.00       369247.00       818703.00
  1958          52            438564.00       373041.17       811605.17
  1958          53            428227.50       378125.17       806352.67
  1958          54            417035.33       367534.33       784569.67
  1958          55            410172.00       360050.17       770222.16
  1958          56            405965.83       355322.00       761287.83
  1958          57            391449.17       341131.83       732581.00
  1958          58            377710.67       320080.17       697790.83
  1958          59            368859.83       295454.00       664313.83
  1958          60            356610.33       271229.67       627840.00
  1958          61            346283.67       252346.66       598630.33
  1958          62            335540.83       235743.33       571284.17
  1958          63            318027.83       217780.17       535808.00
  1958          64            305271.33       206232.83       511504.17
  1958          65            290490.67       196801.16       487291.83
  1958          66            276011.67       188836.66       464848.33
  1958          67            262563.17       180314.83       442878.00
  1958          68            250434.00       171883.50       422317.50
  1958          69            238681.50       165409.00       404090.50
  1958          70            224223.83       157643.50       381867.33
  1958          71            209287.33       147953.33       357240.67
  1958          72            195475.50       138858.33       334333.83
  1958          73            181690.17       130828.66       312518.83
  1958          74            165332.17       119691.50       285023.66
  1958          75            151334.50       110334.16       261668.66
  1958          76            137774.33       101564.33       239338.66
  1958          77            124882.00        91806.67       216688.67
  1958          78            112886.67        83044.33       195930.99
  1958          79            100920.50        74400.00       175320.49
  1958          80             90612.47        67033.89       157646.37
  1958          81             77917.46        58115.93       136033.39
  1958          82             65296.95        48597.30       113894.25
  1958          83             53359.11        39483.99        92843.10
  1958          84             42487.30        31057.85        73545.15
  1958          85             33067.51        23958.62        57026.13
  1958          86             24065.71        17250.06        41315.77
  1958          87             18024.27        12485.99        30510.26
  1958          88             14440.38         9581.30        24021.68
  1958          89             10432.65         6599.10        17031.76
  1958          90              7254.27         4432.64        11686.91
  1958          91              5219.91         3027.92         8247.83
  1958          92              3575.88         2005.38         5581.26
  1958          93              2289.35         1225.35         3514.70
  1958          94              1504.33          736.17         2240.51
  1958          95               893.50          463.67         1357.17
  1958          96               539.67          263.22          802.89
  1958          97               327.41          148.93          476.34
  1958          98               180.14           89.00          269.15
  1958          99                89.77           46.22          135.99
  1958         100                43.37           14.86           58.22
  1958         101                17.11            7.17           24.28
  1958         102                 7.92            2.68           10.60
  1958         103                 3.72            0.74            4.46
  1958         104                 1.42            0.07            1.49
  1958         105                 0.36            0.00            0.36
  1958         106                 0.00            0.00            0.00
  1958         107                 0.00            0.00            0.00
  1958         108                 0.00            0.00            0.00
  1958         109                 0.00            0.00            0.00
  1958         110+                0.00            0.00            0.00
  1959           0            441953.43       468082.84       910036.26
  1959           1            422131.51       446154.97       868286.48
  1959           2            411884.16       434488.40       846372.56
  1959           3            395231.88       416506.59       811738.47
  1959           4            385518.44       406126.94       791645.39
  1959           5            381979.26       401414.27       783393.53
  1959           6            379335.25       399054.14       778389.39
  1959           7            378515.06       398226.88       776741.94
  1959           8            379944.02       399269.66       779213.68
  1959           9            382974.50       402699.71       785674.21
  1959          10            379883.68       399616.14       779499.82
  1959          11            353333.26       370280.43       723613.69
  1959          12            345606.00       359968.26       705574.27
  1959          13            288501.64       298542.31       587043.95
  1959          14            323905.17       334519.17       658424.33
  1959          15            377515.33       391905.67       769421.00
  1959          16            379237.67       393755.83       772993.50
  1959          17            418517.67       434473.83       852991.50
  1959          18            482712.17       502372.83       985085.00
  1959          19            503549.83       524858.83      1028408.67
  1959          20            488710.00       509152.17       997862.17
  1959          21            459090.50       479228.33       938318.83
  1959          22            441690.67       457128.17       898818.83
  1959          23            432570.67       445244.50       877815.17
  1959          24            414810.67       427852.00       842662.67
  1959          25            366341.50       377946.83       744288.33
  1959          26            333610.50       343370.33       676980.83
  1959          27            343064.00       352688.67       695752.67
  1959          28            363677.83       374443.17       738121.00
  1959          29            377217.50       387402.00       764619.50
  1959          30            380152.83       390123.00       770275.83
  1959          31            380988.00       378013.67       759001.67
  1959          32            386417.00       351364.00       737781.00
  1959          33            409345.67       341815.50       751161.17
  1959          34            417964.00       322071.67       740035.67
  1959          35            415162.83       302639.00       717801.83
  1959          36            428721.83       313345.67       742067.50
  1959          37            453173.83       331318.33       784492.17
  1959          38            471311.00       339316.33       810627.33
  1959          39            420843.67       301860.17       722703.83
  1959          40            306628.33       221890.50       528518.83
  1959          41            242785.17       177703.33       420488.50
  1959          42            250790.33       184497.00       435287.33
  1959          43            307720.33       224754.33       532474.67
  1959          44            400587.00       290573.66       691160.67
  1959          45            452512.17       333499.00       786011.17
  1959          46            460970.83       349200.83       810171.67
  1959          47            455496.50       349332.83       804829.33
  1959          48            454061.33       348555.00       802616.33
  1959          49            467416.83       362065.67       829482.50
  1959          50            469056.17       368764.17       837820.33
  1959          51            459515.33       369475.67       828991.00
  1959          52            449073.00       367242.83       816315.83
  1959          53            438020.00       370640.67       808660.67
  1959          54            427523.83       375229.67       802753.50
  1959          55            416073.50       364149.83       780223.33
  1959          56            409099.67       356293.00       765392.67
  1959          57            404503.33       350992.83       755496.17
  1959          58            389783.17       336316.17       726099.33
  1959          59            375787.00       315101.67       690888.67
  1959          60            366656.83       290267.83       656924.67
  1959          61            354093.00       266014.17       620107.17
  1959          62            343420.00       247003.50       590423.50
  1959          63            332293.00       230312.17       562605.17
  1959          64            314423.83       212263.67       526687.50
  1959          65            301345.50       200603.33       501948.83
  1959          66            286093.33       190903.50       476996.83
  1959          67            271162.50       182628.83       453791.33
  1959          68            257261.33       173883.33       431144.67
  1959          69            244612.33       165210.33       409822.67
  1959          70            232381.00       158274.00       390655.00
  1959          71            217322.00       150256.00       367578.00
  1959          72            201806.83       140220.17       342027.00
  1959          73            187391.17       130874.17       318265.33
  1959          74            173080.33       122422.00       295502.33
  1959          75            156398.00       111269.50       267667.50
  1959          76            142080.17       101758.50       243838.67
  1959          77            128268.83        92760.50       221029.33
  1959          78            115182.50        83115.67       198298.17
  1959          79            103310.33        74495.50       177805.83
  1959          80             93414.31        67336.55       160750.86
  1959          81             80851.02        58640.79       139491.81
  1959          82             68569.02        50125.67       118694.69
  1959          83             56815.35        41325.06        98140.40
  1959          84             45745.35        33071.78        78817.13
  1959          85             35719.06        25530.01        61249.06
  1959          86             27371.11        19420.14        46791.24
  1959          87             19539.98        13723.11        33263.10
  1959          88             14386.06         9684.07        24070.13
  1959          89             11299.34         7261.06        18560.40
  1959          90              8031.63         4882.55        12914.17
  1959          91              5448.42         3159.43         8607.85
  1959          92              3845.06         2142.89         5987.95
  1959          93              2573.87         1397.69         3971.56
  1959          94              1607.34          833.50         2440.84
  1959          95              1011.67          485.00         1496.67
  1959          96               580.00          298.83          878.83
  1959          97               337.17          158.89          496.05
  1959          98               205.25           95.26          300.51
  1959          99               103.14           58.50          161.65
  1959         100                47.10           19.56           66.66
  1959         101                20.53            7.69           28.22
  1959         102                 7.75            3.16           10.91
  1959         103                 3.49            0.83            4.31
  1959         104                 1.42            0.00            1.42
  1959         105                 0.17            0.00            0.17
  1959         106                 0.00            0.00            0.00
  1959         107                 0.00            0.00            0.00
  1959         108                 0.00            0.00            0.00
  1959         109                 0.00            0.00            0.00
  1959         110+                0.00            0.00            0.00
  1960           0            455798.74       481024.11       936822.84
  1960           1            438778.10       463478.12       902256.22
  1960           2            422525.43       446336.52       868861.94
  1960           3            412579.26       435157.64       847736.90
  1960           4            396152.74       417335.75       813488.49
  1960           5            386437.75       407058.02       793495.77
  1960           6            382951.37       402371.79       785323.17
  1960           7            380388.64       399949.00       780337.64
  1960           8            379478.63       399204.36       778682.99
  1960           9            380979.79       400216.82       781196.61
  1960          10            383961.84       403649.81       787611.65
  1960          11            380780.10       400500.03       781280.12
  1960          12            354103.35       371036.24       725139.58
  1960          13            346332.25       360750.84       707083.09
  1960          14            289334.56       299401.61       588736.18
  1960          15            325176.33       335842.00       661018.33
  1960          16            379306.17       393975.50       773281.67
  1960          17            381076.50       396912.83       777989.33
  1960          18            420819.00       440481.33       861300.33
  1960          19            485554.17       509436.83       994991.00
  1960          20            506513.67       530928.50      1037442.17
  1960          21            491041.83       516363.33      1007405.17
  1960          22            460846.00       484707.17       945553.17
  1960          23            443021.17       462756.17       905777.33
  1960          24            433945.00       452676.67       886621.67
  1960          25            415785.67       435159.00       850944.67
  1960          26            367484.83       384733.17       752218.00
  1960          27            334545.83       349124.00       683669.83
  1960          28            343875.33       357892.00       701767.33
  1960          29            364442.33       379310.33       743752.67
  1960          30            378187.33       391903.33       770090.67
  1960          31            380929.00       393751.83       774680.83
  1960          32            381756.17       381403.17       763159.33
  1960          33            387260.33       354405.67       741666.00
  1960          34            410169.83       344675.00       754844.83
  1960          35            418771.00       324451.33       743222.33
  1960          36            415815.17       304944.17       720759.33
  1960          37            429330.67       315164.17       744494.83
  1960          38            453818.33       332970.33       786788.67
  1960          39            471973.33       340855.00       812828.33
  1960          40            421477.00       303300.33       724777.33
  1960          41            307051.17       222802.67       529853.83
  1960          42            243046.50       178299.33       421345.83
  1960          43            251076.50       185010.50       436087.00
  1960          44            307967.50       225245.00       533212.50
  1960          45            400803.83       290890.67       691694.50
  1960          46            452621.00       333496.83       786117.83
  1960          47            460966.33       348930.67       809897.00
  1960          48            455374.00       348778.67       804152.67
  1960          49            453825.50       347689.83       801515.33
  1960          50            467062.33       360716.33       827778.67
  1960          51            468483.67       367011.00       835494.67
  1960          52            458733.33       367356.67       826090.00
  1960          53            448166.50       364747.00       812913.50
  1960          54            436791.67       367627.33       804419.00
  1960          55            426087.33       371640.50       797727.83
  1960          56            414514.00       360143.17       774657.17
  1960          57            407270.33       351664.83       758935.17
  1960          58            402379.67       345725.83       748105.50
  1960          59            387351.17       330654.83       718006.00
  1960          60            373075.67       309108.17       682183.83
  1960          61            363663.83       284205.50       647869.33
  1960          62            350791.00       259865.33       610656.33
  1960          63            339779.83       240722.83       580502.67
  1960          64            328289.00       224043.00       552332.00
  1960          65            309982.67       205973.17       515955.83
  1960          66            296567.50       194122.50       490690.00
  1960          67            280801.50       184204.00       465005.50
  1960          68            265250.67       175679.00       440929.67
  1960          69            251026.67       166622.83       417649.50
  1960          70            237821.67       157678.33       395500.00
  1960          71            225025.67       150448.83       375474.50
  1960          72            209298.17       141958.33       351256.50
  1960          73            193273.50       131704.17       324977.67
  1960          74            178401.17       122099.00       300500.17
  1960          75            163516.17       113436.83       276953.00
  1960          76            146569.17       102221.00       248790.17
  1960          77            131966.67        92623.83       224590.50
  1960          78            117928.33        83691.83       201620.17
  1960          79            104992.83        74203.83       179196.66
  1960          80             94996.18        67094.28       162090.46
  1960          81             83075.89        58647.04       141722.92
  1960          82             70984.43        50360.79       121345.23
  1960          83             59372.44        42375.69       101748.12
  1960          84             48466.61        34405.25        82871.86
  1960          85             38370.46        27032.66        65403.12
  1960          86             29454.00        20533.57        49987.58
  1960          87             22079.06        15298.55        37377.62
  1960          88             15415.61        10537.88        25953.50
  1960          89             11165.87         7295.36        18461.22
  1960          90              8564.82         5308.35        13873.17
  1960          91              5970.45         3444.68         9415.13
  1960          92              3936.08         2174.58         6110.65
  1960          93              2698.55         1428.04         4126.59
  1960          94              1744.20          911.68         2655.87
  1960          95              1068.68          529.00         1597.68
  1960          96               645.33          301.83          947.17
  1960          97               364.17          176.67          540.83
  1960          98               206.83           92.89          299.72
  1960          99               119.08           53.26          172.34
  1960         100                50.81           22.00           72.81
  1960         101                22.27            8.06           30.32
  1960         102                 9.41            3.36           12.77
  1960         103                 4.28            1.39            5.67
  1960         104                 1.97            0.08            2.05
  1960         105                 0.73            0.00            0.73
  1960         106                 0.00            0.00            0.00
  1960         107                 0.00            0.00            0.00
  1960         108                 0.00            0.00            0.00
  1960         109                 0.00            0.00            0.00
  1960         110+                0.00            0.00            0.00
  1961           0            471025.56       495228.64       966254.20
  1961           1            452882.00       476390.40       929272.39
  1961           2            438973.75       463192.40       902166.15
  1961           3            422307.64       445650.01       867957.65
  1961           4            411048.38       433192.21       844240.59
  1961           5            395582.71       416092.63       811675.34
  1961           6            385785.16       406035.57       791820.73
  1961           7            382297.00       401221.51       783518.51
  1961           8            378902.86       398100.65       777003.51
  1961           9            378571.44       397814.40       776385.84
  1961          10            379694.61       398876.47       778571.08
  1961          11            385205.57       405192.83       790398.40
  1961          12            380939.77       401376.12       782315.89
  1961          13            354610.81       371943.15       726553.97
  1961          14            347461.54       362563.23       710024.77
  1961          15            291226.12       301318.02       592544.15
  1961          16            326395.33       337717.50       664112.83
  1961          17            381469.17       398003.33       779472.50
  1961          18            382883.33       403467.83       786351.17
  1961          19            421011.33       445321.50       866332.83
  1961          20            486108.00       513842.33       999950.34
  1961          21            502806.33       530666.84      1033473.17
  1961          22            485956.33       512896.67       998853.00
  1961          23            456473.83       481387.67       937861.50
  1961          24            441051.17       465427.33       906478.50
  1961          25            433344.50       459430.83       892775.33
  1961          26            418224.83       443886.17       862111.00
  1961          27            368970.00       392066.00       761036.00
  1961          28            336776.50       356052.50       692829.00
  1961          29            345278.67       364289.67       709568.33
  1961          30            368998.00       388534.17       757532.17
  1961          31            381031.50       399123.00       780154.50
  1961          32            384771.83       402356.83       787128.67
  1961          33            385642.50       389375.67       775018.17
  1961          34            391433.50       362294.67       753728.17
  1961          35            414636.83       351318.83       765955.67
  1961          36            420485.17       328073.00       748558.17
  1961          37            419097.00       308426.67       727523.67
  1961          38            432634.50       318812.00       751446.50
  1961          39            457098.00       336746.00       793844.00
  1961          40            476381.50       344466.67       820848.17
  1961          41            422606.50       303696.50       726303.00
  1961          42            308896.17       223826.00       532722.17
  1961          43            243579.83       178639.00       422218.83
  1961          44            252086.83       185747.83       437834.67
  1961          45            309385.33       226035.33       535420.66
  1961          46            401474.67       290790.83       692265.50
  1961          47            453812.67       333707.00       787519.67
  1961          48            462014.17       348635.50       810649.67
  1961          49            455344.17       347873.33       803217.50
  1961          50            455026.00       347245.00       802271.00
  1961          51            465878.17       357741.67       823619.83
  1961          52            468043.17       364764.00       832807.17
  1961          53            457690.50       364227.67       821918.17
  1961          54            447558.50       361779.33       809337.83
  1961          55            436266.00       364679.50       800945.50
  1961          56            424289.67       366721.83       791011.50
  1961          57            412896.50       355466.33       768362.83
  1961          58            405611.83       346453.50       752065.33
  1961          59            400410.83       340060.17       740471.00
  1961          60            386329.33       325030.83       711360.17
  1961          61            370612.67       302605.50       673218.17
  1961          62            360987.33       278037.00       639024.34
  1961          63            347622.00       253372.00       600994.00
  1961          64            336722.83       234809.17       571532.00
  1961          65            324420.50       217570.50       541991.00
  1961          66            305403.50       199536.50       504940.00
  1961          67            292208.83       187923.00       480131.83
  1961          68            275624.00       177596.00       453220.00
  1961          69            259387.50       168624.67       428012.17
